transaction_id,procedure_id,trans_group_id,trans_group_ar,trans_group_en,procedure_name_ar,procedure_name_en,instance_date,property_type_id,property_type_ar,property_type_en,property_sub_type_id,property_sub_type_ar,property_sub_type_en,property_usage_ar,property_usage_en,reg_type_id,reg_type_ar,reg_type_en,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,project_number,project_name_ar,project_name_en,master_project_en,master_project_ar,nearest_landmark_ar,nearest_landmark_en,nearest_metro_ar,nearest_metro_en,nearest_mall_ar,nearest_mall_en,rooms_ar,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,,
3-9-2006-163,9,3,Ù‡Ø¨Ø§Øª,Gifts,Ù‡Ø¨Ù‡,Grant,16/10/2006,4,ÙÙŠÙ„Ø§,Villa,null,,,Ø³ÙƒÙ†ÙŠ,Residential,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,278,Ù…Ù†Ø®ÙˆÙ„,Mankhool,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø¨Ù†Ùƒ Ø£Ø¨ÙˆØ¸Ø¨ÙŠ Ø§Ù„ØªØ¬Ø§Ø±ÙŠ,ADCB Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,3162.42,12000000,3794.56,null,null,3,1,0,,
3-9-2019-2944,9,3,Ù‡Ø¨Ø§Øª,Gifts,Ù‡Ø¨Ù‡,Grant,13/11/2019,1,Ø£Ø±Ø¶,Land,null,,,Ø³ÙƒÙ†ÙŠ,Residential,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,278,Ù…Ù†Ø®ÙˆÙ„,Mankhool,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø¨Ù†Ùƒ Ø£Ø¨ÙˆØ¸Ø¨ÙŠ Ø§Ù„ØªØ¬Ø§Ø±ÙŠ,ADCB Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,209.09,916659,4384.04,null,null,2,4,0,,
2-13-2001-690,13,2,Ø±Ù‡ÙˆÙ†,Mortgages,ØªØ³Ø¬ÙŠÙ„ Ø±Ù‡Ù†,Mortgage Registration,20/08/2001,2,Ù…Ø¨Ù†Ù‰,Building,null,,,Ø³ÙƒÙ†ÙŠ / ØªØ¬Ø§Ø±ÙŠ,Residential / Commercial,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,388,Ø¹ÙˆØ¯ Ù…ÙŠØ«Ø§,Oud Metha,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø¹ÙˆØ¯ Ù…ÙŠØ«Ø§Ø¡,Oud Metha Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,1337.8,4519342,3378.19,null,null,1,1,0,,
2-13-2020-9477,13,2,Ø±Ù‡ÙˆÙ†,Mortgages,ØªØ³Ø¬ÙŠÙ„ Ø±Ù‡Ù†,Mortgage Registration,30/11/2020,2,Ù…Ø¨Ù†Ù‰,Building,null,,,Ø³ÙƒÙ†ÙŠ,Residential,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,276,Ø§Ù„Ø¨Ø¯Ø¹,Al Bada,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø§Ù„Ù…Ø±ÙƒØ² Ø§Ù„ØªØ¬Ø§Ø±ÙŠ,Trade Centre Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,278.71,2500000,8969.9,null,null,1,1,0,,
2-13-1999-532,13,2,Ø±Ù‡ÙˆÙ†,Mortgages,ØªØ³Ø¬ÙŠÙ„ Ø±Ù‡Ù†,Mortgage Registration,26/04/1999,4,ÙÙŠÙ„Ø§,Villa,null,,,Ø³ÙƒÙ†ÙŠ,Residential,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,276,Ø§Ù„Ø¨Ø¯Ø¹,Al Bada,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø§Ù„Ù…Ø±ÙƒØ² Ø§Ù„ØªØ¬Ø§Ø±ÙŠ,Trade Centre Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,3626.93,1900000,523.86,null,null,1,1,0,,
2-13-1998-354,13,2,Ø±Ù‡ÙˆÙ†,Mortgages,ØªØ³Ø¬ÙŠÙ„ Ø±Ù‡Ù†,Mortgage Registration,01/07/1998,2,Ù…Ø¨Ù†Ù‰,Building,null,,,Ø³ÙƒÙ†ÙŠ / ØªØ¬Ø§Ø±ÙŠ,Residential / Commercial,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,271,Ø§Ù„ÙƒØ±Ø§Ù…Ù‡,Al Karama,,,null,,,,,Ù…Ø·Ø§Ø± Ø¯Ø¨ÙŠ Ø§Ù„Ø¯ÙˆÙ„ÙŠ,Dubai International Airport,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø¨Ù†Ùƒ Ø£Ø¨ÙˆØ¸Ø¨ÙŠ Ø§Ù„ØªØ¬Ø§Ø±ÙŠ,ADCB Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,929.03,5000000,5381.96,null,null,1,1,0,,
2-13-2007-1077,13,2,Ø±Ù‡ÙˆÙ†,Mortgages,ØªØ³Ø¬ÙŠÙ„ Ø±Ù‡Ù†,Mortgage Registration,07/06/2007,2,Ù…Ø¨Ù†Ù‰,Building,null,,,Ø³ÙƒÙ†ÙŠ,Residential,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,271,Ø§Ù„ÙƒØ±Ø§Ù…Ù‡,Al Karama,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø¨Ù†Ùƒ Ø£Ø¨ÙˆØ¸Ø¨ÙŠ Ø§Ù„ØªØ¬Ø§Ø±ÙŠ,ADCB Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,211.35,1849364,8750.24,null,null,1,1,0,,
2-13-2006-578,13,2,Ø±Ù‡ÙˆÙ†,Mortgages,ØªØ³Ø¬ÙŠÙ„ Ø±Ù‡Ù†,Mortgage Registration,15/05/2006,2,Ù…Ø¨Ù†Ù‰,Building,null,,,Ø³ÙƒÙ†ÙŠ,Residential,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,271,Ø§Ù„ÙƒØ±Ø§Ù…Ù‡,Al Karama,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø¨Ù†Ùƒ Ø£Ø¨ÙˆØ¸Ø¨ÙŠ Ø§Ù„ØªØ¬Ø§Ø±ÙŠ,ADCB Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,211.35,1200000,5677.79,null,null,1,1,0,,
1-11-2025-37635,11,1,Ù…Ø¨Ø§ÙŠØ¹Ø§Øª,Sales,Ø¨ÙŠØ¹,Sell,09/09/2025,2,Ù…Ø¨Ù†Ù‰,Building,null,,,ØªØ¬Ø§Ø±ÙŠ,Commercial,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,271,Ø§Ù„ÙƒØ±Ø§Ù…Ù‡,Al Karama,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø¨Ù†Ùƒ Ø£Ø¨ÙˆØ¸Ø¨ÙŠ Ø§Ù„ØªØ¬Ø§Ø±ÙŠ,ADCB Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,211.51,13386000,63287.79,null,null,1,1,0,,
1-11-2023-24638,11,1,Ù…Ø¨Ø§ÙŠØ¹Ø§Øª,Sales,Ø¨ÙŠØ¹,Sell,18/08/2023,2,Ù…Ø¨Ù†Ù‰,Building,null,,,Ø³ÙƒÙ†ÙŠ,Residential,1,Ø§Ù„Ø¹Ù‚Ø§Ø±Ø§Øª Ø§Ù„Ù‚Ø§Ø¦Ù…Ø©,Existing Properties,271,Ø§Ù„ÙƒØ±Ø§Ù…Ù‡,Al Karama,,,null,,,,,Ø¨Ø±Ø¬ Ø®Ù„ÙŠÙØ©,Burj Khalifa,Ù…Ø­Ø·Ø© Ù…ØªØ±Ùˆ Ø¨Ù†Ùƒ Ø£Ø¨ÙˆØ¸Ø¨ÙŠ Ø§Ù„ØªØ¬Ø§Ø±ÙŠ,ADCB Metro Station,Ù…ÙˆÙ„ Ø¯Ø¨ÙŠ,Dubai Mall,,,0,211.35,5000000,23657.44,null,null,14,1,0,,
